CandidateID,TargetPhrase,SearchEngine_Or_Source,ExactQuery_Or_Navigation,DateSearched,PaginationDepth,ResultURL,DisplayedTitle,CanonicalURL,ExistingMasterID,ExactPhraseOnDestination,EvidenceExcerpt,VerificationStatus,NoveltyVsMaster,ProposedCategory,TrustTier,AddToMaster,Notes
RAN-011,Zazie Productions + yyyyyyy.info,IA full-text + metadata,"""Zazie Productions""",2026-09-05,11 of 19,https://archive.org/details/5-bb-30-b-4-b-a-4-a-0-4-fff-94-cc-22-f-0-fceda-667,https://www.yyyyyyy.info (lost animation sequence),https://archive.org/details/5-bb-30-b-4-b-a-4-a-0-4-fff-94-cc-22-f-0-fceda-667,NEW,Yes - creator field,"'creator: Zazie Productions, yyyyyyy.info - Lost animation sequence ... re-mastered from Zazie Productions'",verified-live,NEW,Official Properties & Channels,C,YES,Adds an archival record behind register item yyyyyyy.info (was HUNT repo-slug)
RAN-012,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,12 of 19,https://archive.org/details/va-doom-a-creative-commons-music-compilation,V/A - DOOM / A Creative Commons Music Compilation,https://archive.org/details/va-doom-a-creative-commons-music-compilation,NEW,Yes - track file metadata,"'06 - Zazie Productions - 7.4mm Under Orange Lights.mp3 ... artist: Zazie Productions, track 6'",verified-live,NEW,Music Compilations,C,YES,Archive.org copy of the DOOM CC compilation (Bandcamp original already in master)
RAN-013,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,13 of 19,https://archive.org/details/experiments-on-the-witch-house,V/A - Experiments on the Witch House,https://archive.org/details/experiments-on-the-witch-house,NEW (URL-level; release known),Yes - full-text hit + tracklist,Full-text match in witch-house compilation item (Zazie track in tracklist),verified-live (IA full text),NEW URL,Music Compilations,C,YES,Archive.org full-album copy; Bandcamp/Discogs versions already master
RAN-014,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,14 of 19,https://archive.org/details/arrhythnia-discography,(Label) arrhythNia Discography,https://archive.org/details/arrhythnia-discography,NEW (URL-level; label known),Yes - file listing,'Amnesia X Zazie Productions - Oliver Schoeffler Split (aNr124).zip',verified-live (IA full text),NEW URL,Music Compilations,C,YES,arrhythNia label-discography mirror incl. the Amnesia X Zazie Productions split
RAN-015,Zazie Productions,IA full-text search,"""Zazie Productions""",2026-09-05,15 of 19,https://archive.org/details/liquid-phosphorus-4-33,Zazie Productions Mystery File Dump: Vol 2,https://archive.org/details/liquid-phosphorus-4-33,NEW,Yes - item title in IA index,'Zazie Productions Mystery File Dump: Vol 2' (advancedsearch title field),search-index verified (IA index),NEW,Official Properties & Channels,C,YES,Second Mystery File Dump audio volume; Bandcamp Liquid Phosphorus track is a separate known record
RAN-016,Zazie Productions,IA full-text search,"""Zazie Productions""",2026-09-05,16 of 19,https://archive.org/details/sepsis-d-iaa-i3d-iai-i3d-i-ia-i3da-iia-i3di-ia-i3-d-ia-i3d-iia-i3di-ia-i3d,Sepsis (stylized unicode title) - video item,https://archive.org/details/sepsis-d-iaa-i3d-iai-i3d-i-ia-i3da-iia-i3di-ia-i3-d-ia-i3d-iia-i3di-ia-i3d,NEW (URL-level; work known via newmediartspace),Yes - IA full-text hit,Full-text match; metadata chunk truncated before creator field,search-index verified (IA index),NEW URL,Video Mirror / Backlink Sites,C,YES,Archive.org copy of the Sepsis video work (exhibition page already master)
RAN-017,Zazie Productions,Yep (Ahrefs index) -> direct fetch,Zazie Productions SERP query on yep.com/web,2026-09-05,1,https://metapsychosis.com/creative-agents/zazie-productions/,Zazie Productions | Metapsychosis,https://metapsychosis.com/creative-agents/zazie-productions/,NEW,Yes - page body,"Excerpt: Zazie Productions, Asheville's clandestine autistic polymath, seamlessly shifts between roles...",verified-live,NEW,Profiles & Catalogs,B,YES,Edited literary-magazine creative-agent profile page
RAN-018,Zazie Productions,OceanHero (Bing) -> direct fetch,"""Zazie Productions""",2026-09-05,1,https://getheard.fm/producers/zazie-productions,Zazie Productions - Music Producer contact & submission info - Heard,https://getheard.fm/producers/zazie-productions,NEW,Yes - title + profile body,"Profile page with services (Sound Design $350/min, Film Composer), credits (Unwashed Miscreant, Lydia Lunch, Black Mountain College, Sun Ra Arkestra)",verified-live,NEW,Profiles & Catalogs,C,YES,Industry contact/submission database page
RAN-019,Zazie Productions,Mail.ru (Yandex path) -> direct fetch,"""Zazie Productions""",2026-09-05,1,https://ok.ru/music/artist/122911094866528,Zazie Productions - OK Music artist page,https://ok.ru/music/artist/122911094866528,NEW,Yes - artist heading + track credits,'# Zazie Productions (Artist) - Dome Collapse - Zazie Productions - 1 YEAR ANNIVERSARY (2025)',verified-live,NEW,Streaming & Music Platforms,C,YES,Also resolves OK.ru album/123001281196995 as the listen location for the '1 Year Anniversary' compilation (previously unresolved listen-link)
RAN-020,Zazie Productions,Mail.ru (Yandex path) -> direct fetch,"""Zazie Productions""",2026-09-05,1,https://github.com/zazieproductions/zazieproductions,GitHub - zazieproductions/zazieproductions,https://github.com/zazieproductions/zazieproductions,NEW (repo-level; org root known),Yes - README body,'# ZAZIE PRODUCTIONS // EXPERIMENTAL SOFTWARE FOR UNSTABLE SIGNALS',verified-live,NEW,Official Properties & Channels,C,YES,Profile README repo; last commit Jul 21 2026
RAN-021,Zazie Productions,Walla! (Google-IL) -> direct fetch,"""Zazie Productions""",2026-09-05,1,https://zazieproductions.gumroad.com/l/plugin,"World's Strangest Plug-in Mega-Vault: 200+ Banned, Cursed, and Unhinged VSTs",https://zazieproductions.gumroad.com/l/plugin,NEW (product-level; store root known),Yes - product page body,'Zazie Productions ... World's Strangest Plug-in Mega-Vault ... A Final Note from Zazie Productions',verified-live,NEW,Official Properties & Channels,C,YES,Gumroad storefront product; 19 sales listed
RAN-022,Zazie Productions,OceanHero (Bing),"""Zazie Productions""",2026-09-05,1,https://www.reverbnation.com/zazieproductions,Zazie Productions | ReverbNation,https://www.reverbnation.com/zazieproductions,NEW (root URL; /songs + /videos known),Snippet-level,"'Zazie Productions, Asheville's clandestine autistic polymath...' (SERP snippet)",search-index verified (Bing via OceanHero),NEW URL,Streaming & Music Platforms,C,YES,Root profile; sub-pages already master
RAN-023,Zazie Productions,Mail.ru (Yandex path),"""Zazie Productions""",2026-09-05,1,https://music.yandex.ru/artist/17856702/tracks,Zazie Productions - Yandex Music artist,https://music.yandex.ru/artist/17856702/tracks,NEW,Snippet only (region-blocked fetch),'Samye populyarnye treki Zazie Productions - Yandex Music' (Yandex-index snippet; page geo-blocks fetch),partial - region-blocked,NEW,Streaming & Music Platforms,C,YES,First Yandex Music artist record; region-gated
RAN-024,Zazie Productions,Yep -> direct fetch (region-blocked),"""Zazie Productions""",2026-09-05,1,https://spacehey.com/profile?id=3044031,Zazie Productions's Profile | SpaceHey,https://spacehey.com/profile?id=3044031,NEW (profile page; blog.spacehey entry known),Snippet only (region-blocked fetch),Title in index: 'Zazie Productions's Profile | SpaceHey'; fetch blocked by Virginia age-verification wall,partial - region-blocked,NEW,"Community, Wiki & Fan Indexes",C,YES,Retro social network profile
RAN-025,Zazie Productions,Mail.ru (Yandex) + OceanHero (Bing),"""Zazie Productions""",2026-09-05,1,https://arthive.com/zazieproductions/biography,Zazie Productions: biography | Arthive,https://arthive.com/zazieproductions/biography,NEW,Snippet only (bot-gated fetch: 'Automatic query check'),Russian artchive.ru variant surfaced by Yandex path; EN arthive.com surfaced by Bing path; both bot-walled,partial - bot-gated,NEW,Profiles & Catalogs,C,YES,Arthive artist biography (EN + RU interface)
RAN-026,Zazie Kanwar-Torge,opnxng SearXNG (google cse),"""Zazie Kanwar-Torge""",2026-09-05,1 of 3,https://www.facebook.com/groups/300926313634847/posts/2649080848819370/,Composer needed for found footage horror short film - Facebook,https://www.facebook.com/groups/300926313634847/posts/2649080848819370/,NEW,Snippet only (login-walled),'Zazie Kanwar-Torge. Sent an email!' (comment visible in index snippet),lead - snippet-only (login wall),NEW,"Community, Wiki & Fan Indexes",Lead,NO - logged as lead only,Facebook login wall; snippet preserves exact person name
RAN-027,Zazie Productions,360/So.com (zh),"""Zazie Productions""",2026-09-05,1,https://www.so.com/link?m=z55IE5lzNIHdrr9yACO6vW2GjSynf4gBWzjr1MP0DuAbLtjWUb7CfX1lTBjrKRahB3veISPZYH...,Subliminal Failures - Qishui Music (Douyin) - Zazie Productions,(douyin.com qishui track - via so.com redirect),NEW (track-level; one douyin song already master),Snippet only (redirect link),'Qishui yinyue ... Zazie Productions Subliminal Failures gequ' (Chinese SERP snippet),lead - snippet-only (redirect),NEW,Streaming & Music Platforms,Lead,NO - lead only,Direct douyin URL not resolvable from redirect this pass
RAN-028,Zazie Productions,360/So.com (zh),"""Zazie Productions""",2026-09-05,1,https://www.so.com/link?m=zySPdsAEZOkaPzRKy27lPmfrmPps5hyObWYF7uftFhKTz42yPBduRlW5n4uMGPo...,Stokes Diapir - Qishui Music (Douyin) - Zazie Productions,(douyin.com qishui track - via so.com redirect),NEW (track-level),Snippet only (redirect link),'Stokes Diapir Zazie Productions zhuanji: Stutter to stammer' (Chinese SERP snippet),lead - snippet-only (redirect),NEW,Streaming & Music Platforms,Lead,NO - lead only,Album credit visible in snippet
RAN-029,Zazie Productions,Marginalia (retry),"""Zazie Productions""",2026-09-05,1 of n,https://thechurchofnoisygoat.bandcamp.com/track/zazie-productions-post-carbon-signal-rot-comunion-v2-3 (from SERP listing),Zazie Productions - Post-Carbon Signal Rot - Comunion V.2.3 | The Church of Noisy Goat,https://thechurchofnoisygoat.bandcamp.com/track/zazie-productions-post-carbon-signal-rot-comunion-v2-3,NEW,Index-listing level (Marginalia SERP title),'Zazie Productions - Post-Carbon Signal Rot - Comunion V.2.3 | Various Artists | The Church of Noisy Goat',"lead - surfaced, page not fetched this pass",NEW,Music Compilations,Lead,NO - queued for verification,Independent-crawler-only surface; verify on next pass
