Engine,Class,Region_Language,EndpointTested,AccessMethod,DateUTC,AccessStatus,EngineConfig_Backend,Notes
Whoogle public instances,Meta (self-host proxy),en,(no stable public instance reachable),fetch_page,2026-09-05,NOT TESTED-COMPLETABLE,Google proxy,Public instances migrate frequently; none validated from sandbox this pass.
MetaGer,Meta (DE nonprofit),en/de,https://metager.org/meta/meta.ger3?eingabe=%22Zazie+Productions%22,fetch_page,2026-09-05,Query dropped to landing page,Meta (multi),GET with query param redirected to marketing landing; needs interactive session.
Ekoru,Charity meta,en,https://ekoru.org/?q=%22Zazie+Productions%22,fetch_page,2026-09-05,Accessible; JS-gated organic rows,Google/Bing remix,"Only vertical links (Bing video, Google maps/shop/books) rendered."
GiveWater,Charity meta,en,https://givewater.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,DEAD (404 - site not configured),Google remix,Service offline.
OceanHero,Charity meta,en,https://www.oceanhero.today/web?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED,Bing-backed,Surfaced arthive.com bio + getheard.fm (both new) + ReverbNation root + 3 'Zazie Productions - Topic' YouTube videos.
Ghostery Private Search,Independent,en,https://ghosterysearch.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,DISCONTINUED to closed beta (2026-06),Meta,Service moved to closed beta per official blog post.
BoardReader,Forum-search vertical,en,https://www.boardreader.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,ENDPOINT CHANGED (404 on /search),Forum index,Site alive; search path moved.
Million Short,Independent/meta,en,https://millionshort.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,LOGIN-GATED,Meta,Search now requires account.
Search Encrypt / Dogpile / WebCrawler / Excite.com / Info.com / AOL / Ask / Lycos / HotBot,Meta veterans (InfoSpace/System1 family),en,dogpile.com/search ; info.com/serps ; search.aol.com/aol/search ; ask.com/web ; search.lycos.com/web ; hotbot.com ; excite.com/serp,fetch_page,2026-09-05,Mixed: Info.com WORKED; Dogpile server error; AOL/Ask 404; HotBot pivoted to AI chat; Lycos/Excite unreachable,Google/Bing remixes,"Info.com (Google-fed): page 1 all known surfaces, 5 pages offered. Family engines largely retired/degraded for programmatic access."
Internet Archive full-text search,Archival,en,https://archive.org/advancedsearch.php?q=%22Zazie+Productions%22&rows=25&output=json,fetch_page (JSON API),2026-09-05,WORKED - 19 full-text hits,IA in-item full text,"16 items NOT in master (self-issued uploads, zines, contest film, label-discography mirror, yyyyyyy.info recovery). All metadata-verified via archive.org/metadata endpoints."
Wayback Machine CDX,Archival,en,web.archive.org/cdx/search/cdx?url=zazieproductions.com&matchType=domain,fetch_page,2026-09-05,SERVICE ERROR (HTTP 500 x3),Wayback CDX,CDX API erroring from this environment; availability API answered: NO snapshots of zazieproductions.com root. Retry from browser recommended.
Archive-It,Archival,en,archive-it.org (via IA links),fetch_page,2026-09-05,Reachable via IA links only,Institutional collections,No dedicated target collection surfaced.
archive.today / archive.ph / archive.is,Archival,en,https://archive.ph/newest/https://zazieproductions.com,fetch_page,2026-09-05,BLOCKED (reCAPTCHA),On-demand archive,Bot wall; needs interactive browser.
Memento Time Travel,Archival aggregator,en,http://timetravel.mementoweb.org/api/json/2026/https://zazieproductions.com/,fetch_page,2026-09-05,UNREACHABLE,Memento aggregator,Fetch failed from sandbox.
Common Crawl Index,Archival (crawl index),en,index.commoncrawl.org/CC-MAIN-*-index?url=*zazieproductions*,curl (blocked egress) / fetch_page,2026-09-05,NOT COMPLETABLE this pass,CC index server,Direct host unreachable from sandbox egress; needs whitelisted egress or browser.
Arquivo.pt,Archival (PT),pt/en,https://arquivo.pt/textsearch?q=%22Zazie+Productions%22&maxItems=20,fetch_page (JSON API),2026-09-05,WORKED; ZERO results,PT web archive full text,estimated_nr_results=0 - confirmed negative for exact phrase.
UK Web Archive,Archival (UK),en,https://www.webarchive.org.uk/ukwa/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,SERVICE DOWN (BL cyber-incident recovery),UK legal-deposit archive,Official 'currently unavailable' notice.
Library of Congress Web Archives,Archival (US),en,https://www.loc.gov/search/?q=%22Zazie+Productions%22&fo=json,fetch_page (JSON API),2026-09-05,WORKED; ZERO results,LoC catalog + web archive,hits=0 - confirmed negative.
Trove (National Library of Australia),Archival (AU),en,https://trove.nla.gov.au/search/category/websites?keyword=%22Zazie%20Productions%22,fetch_page,2026-09-05,BLOCKED (Anubis proof-of-work),AU national archive,Bot PoW wall.
Europeana / DPLA / HathiTrust / WorldCat / JSTOR / Project MUSE public metadata,Scholarly/cultural catalogs,en/multi,(API/UI),fetch_page,2026-09-05,NOT COMPLETABLE this pass (key-gated or JS),Cultural catalogs,Europeana+DPLA APIs need keys; WorldCat/HathiTrust JS/Cloudflare; JSTOR/MUSE public metadata UI JS-gated. Recorded as pending.
Google Scholar / BASE / CORE / DOAJ / Semantic Scholar / OAIster,Scholarly indexes,en,api.openalex.org ; api.crossref.org ; europepmc REST ; zenodo API ; doaj API ; base-search API ; semanticscholar API,fetch_page (JSON APIs),2026-09-05,Mixed (see notes),Scholarly APIs,OpenAlex 0 (both names) - NEGATIVE. Europe PMC 0 - NEGATIVE. Zenodo 0 - NEGATIVE. Crossref: fuzzy-only (Queneau/Malle 'Zazie dans le metro' scholarship; no exact-name work). Semantic Scholar 429 rate-limited. BASE API IP-denied. DOAJ 502 service error. OSF v2 search endpoint retired.
Open Library / IA Texts,Bibliographic,en,openlibrary.org/search.json ; archive.org texts (via full-text search),fetch_page,2026-09-05,IA Texts covered by IA full-text pass,Bibliographic,Open Library endpoint not reached before context budget; queued for next pass.
