Section,PageURL,Media,Priority,Status,Name,Evidence,FoundOn,Context,NextAction
A,https://www.listennotes.com/podcasts/black-mountain/episode-7-ruth-asawas-jCOn1up_zYy/,🔴 🎙,🥉C,✅,Kanwar,"Episode 7 notes (2024-06-07) carry the same Zazie bio paragraph (""…Zazie pays tribute to 'Cheap Imitation'… Zazie Kanwar-Torge (they/them)…"").","Brave ""Zazie Kanwar-Torge"" chunk 3 · 2026-09-05",BMC podcast feed — bio re-used in a later episode's notes,
A2,https://allpoetry.com/Zazie_Productions,🔵,🥉C,✅,Prod,"(baseline) poet profile ""Zazie Productions, Poet at AllPoetry"", user_id 6116816, 8 poems. Listed here because the poem permalinks below are new.","Yahoo ""Zazie Productions"" poetry p1 · 2026-09-05",profile,
A2,https://allpoetry.com/poem/18318896-Entry-00-%CE%B4-the-Spalled-Vestibule-or-Where-the-Bylaws-Go-to-Rot-by-Zazie-Productions,🔴,🥉C,✅,Prod,"Prose-poem ""Entry 00-δ. // the Spalled Vestibule, or: Where the Bylaws Go to Rot by Zazie Productions"", © Mar '25.",allpoetry profile crawl · 2026-09-05,NEW poem permalink,
A2,https://allpoetry.com/poem/18284408-3-Untitled-Micro-Haikus-by-Zazie-Productions,🔴,🥉C,✅,Prod,"""3 Untitled Micro-Haikus by Zazie Productions"", © Mar '25 · picked Oct '25 (site editorial pick).",allpoetry profile crawl · 2026-09-05,NEW poem permalink,
A2,https://allpoetry.com/poem/17245942-By-Daybreak-s-Dawn-by-Zazie-Productions,🔴,🥉C,✅,Prod,"""By Daybreak's Dawn by Zazie Productions"", © Jun '23.",allpoetry profile crawl · 2026-09-05,NEW poem permalink,
A2,https://allpoetry.com/poem/17245444-The-Microbe--by-Zazie-Productions,🔴,🥉C,✅,Prod,"""The Microbe by Zazie Productions"", © Jun '23.","Yahoo ""Zazie Productions"" poetry p1 · 2026-09-05",NEW poem permalink,
A2,https://allpoetry.com/poem/17227437-Special-Edition--by-Zazie-Productions,🔴,🥉C,⬜,Prod,"Yahoo title ""Special Edition by Zazie Productions"". Yahoo also served the same id 17227437 for ""The Geography of Absence"" — one of the two titles is a stale index entry; open and confirm before promoting.","Yahoo ""Zazie Productions"" poetry p1–2 · 2026-09-05",poem permalink (id collision — verify),
B,https://www.instagram.com/p/DGp310vszdo/,🟢 🔴,🥈B,🟡,Prod,"Yahoo snippet of @100subtextsmagazine post (1 Mar 2025): ""we feature the writer, composer, filmmaker Zazie Productions, who brings us a stunning poem: Anchor and Ascend. Issue 31"". Direct fetch → HTTP 403 (login wall).","Yahoo ""Zazie Productions"" poetry p1 · 2026-09-05",Social announcement of the Issue 31 feature (blog post in §A is the citable original),
B,https://thesqueakywheel.org/dissociation-support-group-to-hold-meeting-attendees-plan-to-show-up-in-spirit/,🔴,🔎Lead,🟡,—,"Satire article, 29 Oct 2024. Byline is the handle ""zazieproductions"" (no space) — exact string absent. Author archive /author/zazieproductions/ is (baseline).",Direct fetch · 2026-09-05,"The Squeaky Wheel (satire site) — matches LinkedIn ""Publications"" entry",
B,https://thesqueakywheel.org/doctor-asks-man-who-has-been-in-coma-for-45-years-if-he-ever-considered-it-might-just-be-anxiety/,🔴,🔎Lead,🟡,—,"Second satire piece, 14 Mar 2024, same handle byline.",Author archive crawl · 2026-09-05,The Squeaky Wheel,
B,http://www.lynnesachs.com/category/sections/page/6/,🌸 🔴,🥉C,🟡,Kanwar,"Brave snippet: participant list ""…Andrew Reichel Zazie Kanwar-Torge ALina Taalman…"" under the Films for Freedom post. URL is a paginated archive (content shifts); permalink of the post not yet captured (site search is reCAPTCHA-gated).","Brave ""Zazie Kanwar-Torge"" chunk 3 · 2026-09-05","Lynne Sachs' blog re-post of the Film-Makers' Coop × Canyon Cinema ""Films for Freedom"" line-up (baseline: film-makerscoop.com + connects.canyoncinema.com + vimeo)",
B,https://mastodon.bida.im/@iyezine/113995823411563269,🔴 📼,🥉C,✅,Prod,"(baseline) ""#radariye Zazie Productions - CAN'T GET MY EYES OFF YOU (123)… multi-instrumentalist, savant, and whimsical outsider musician"" (13 Feb 2025, auto-posted via dlvr.it).",re-verified · 2026-09-05,"In Your Eyes Ezine (IT) — the iyezine.com article itself was not found: site search for ""zazie""/""eyes off you"" returns no hit, /tag/zazie-productions/ 404, Yahoo iyezine ""Zazie Productions"" = 0. Keep as Lead.",
C,,,,,"Mailmodo — ""The State of Onboarding 2025"" (LinkedIn: 21 Oct 2025)","https://www.mailmodo.com/ebook/state-of-onboarding/2025-o/ renders (80+ SaaS companies, expert corners Ramli John / Jon Farrah) — no Zazie string in HTML; Yahoo mailmodo ""Kanwar-Torge"" = 0.",,,Download the report PDF (gated) and grep contributor list.
C,,,,,100subtexts Issue 31 PDF,"https://payhip.com/b/XVlRA product page: ""69 pieces of work by 27 contemporary writers and poets"", £0.99 — contributor names not listed.",,,"Purchase/obtain PDF; cite page number of ""Anchor and Ascend""."
C,,,,,THRESHOLDS — Goodreads / Amazon,"https://www.goodreads.com/book/show/241165826-thresholds shows Scott C. Holstad as author, no contributor list. hankrules2011.com post (5 Sep 2025) cites ISBN 9798265953896.",,,"Amazon page for ISBN 9798265953896 may include ""Look inside"" TOC."
C,,,,,Anxiety & Depression — Amazon B0FCXQ5K2S,Not fetched (Amazon blocks). Publisher page in §A is the primary citation.,,,"Optional: Amazon ""Look inside"" for page number."
C,,,,,"*Red Ogre Review anthology Bite More Smash More*** (Amazon B0G4LHKM2M, 30 Nov 2025)","https://ogre.red/press/anthologies/2025-anthology/ — covers issues Oct 2024 → Sep 2025. Zazie's contribution is the Dec 2025 issue, so it is most likely not in this volume.",,,Watch for the 2026 anthology (Oct 2025 → Sep 2026 issues).
C,,,,,Fresh Words / SOM magazine issues,https://sites.google.com/view/freshwordsmagazine/issues lists issue PDFs (Drive/FlipHTML5/Lulu) — no contributor names in HTML.,,,Grep Sept–Nov 2025 issue PDFs for a Zazie piece or the anthology announcement.
C,,,,,In Your Eyes Ezine (iyezine.com),See §B row — only the Mastodon auto-post exists in the index.,,,Ask editors for the #radariye permalink; try iyezine.com/?s=miscreant.
C,,,,,Metapsychosis article,Contributor profile exists (§A) but no post links to it.,,,Check Cosmos Co-op newsletters / Metapsychosis issues Feb–Mar 2025.
C,,,,,The Wrong Biennale pavilion page,Artist list confirmed (§A); pavilion/curator not identified.,,,"Grep each 2025/26 pavilion page on thewrong.org for ""Zazie Productions""."
C,,,,,Lynne Sachs blog permalink,See §B.,,,Find lynnesachs.com/2025/11/…films-for-freedom… permalink.
C,,,,,Typescript Magazine · Album of The Year · Ghost Nun Records · Glacier FM · Asheville FM 103.3 (claimed on SoundBetter bio),"Yahoo ""Zazie Productions"" typescript → only GitHub/itch.io; web_search ""The Typescript"" ""Zazie Productions"" = 0.",,,Contact-based verification; no indexable page.
C,,,,,"""Subterranean Sound Index"" / ""Oblique Frequencies Review"" (pull-quotes on musicians.directory)",web_search for either publication name + Zazie returns only the musicians.directory bio itself. ⚠️ No evidence these outlets exist as publications.,,,Treat as unverifiable blurbs; do not log as press.
C,,,,,*Coin-Operated Press — For the Sad Kids Zine***,coinoperatedpress.com generic pages only; no Zazie string.,,,Ask press for issue PDF / contributor list.
C,,,,,"*Dark Holme Publishing — Dark Descent: Whispers From Beyond (""Husk"")*",darkholmepublishing.uk product page (ISBN 1068616407) has no contributor list; heyzine Vol 4 PDF (Sept 2024) not text-searchable.,,,Obtain TOC.
C,,,,,"Blastbones Zine Vol. II (ed. Mateo Perez Lara, Bakersfield)","Eventbrite launch (Oct 23, Beyond Baroque, ""20 contributors""); theindexbooks.com hosts Vol. 1 only.",,,Request Vol. II contributor list.
C,,,,,Milkweed Poetry Journal,Only instagram.com/milkweedpoetry (Hudson Valley workshop journal); Milkweed Editions is a different entity.,,,Check their IG for a Zazie post.
C,,,,,*Thorn In Your Side — Barb #3*,"web_search ""Zazie"" ""Thorn In Your Side"" Barb issue 3 = 0.",,,Ask zine.
C,,,,,"Posthuman Press · re:natura #06 · MEDIUM SONORUM (Bruckner Univ. Linz) · Beatformers doc · BetaList ""Bario""","web_search ""Zazie Productions"" ""Posthuman Press"" OR ""re:natura"" OR ""Medium Sonorum"" → only The Wrong Biennale hit.",,,Individual site searches next phase.
D,https://www.imdb.com/name/nm17333332/bio/,🔵,,,Both,"Bio: ""Zazie Kanwar-Torge was raised in North Carolina… Performing and releasing work under Zazie Productions"". (/name/nm17333332/ is baseline.)","Yahoo ""Zazie Kanwar-Torge"" p1",,
D,https://artfacts.net/artist/zazie-kanwar-torge,🔵 🟣,,,Kanwar,"ArtFacts artist entry; exhibition Muslab 2025, Quito, 24–28 Nov 2025.",Yahoo p3,,
D,https://www.creativemornings.com/individuals/zaziekanwartorge,🔵,,,Kanwar,Member profile.,Yahoo p2,,
D,https://www.upwork.com/freelancers/~010411a0e4129d9d14,🔵,,,Kanwar,Freelancer profile.,Yahoo p2,,
D,https://www.twine.net/ZazieProductions,🔵,,,Prod,Freelancer profile.,web_search,,
D,https://www.behance.net/zaziediya,🔵,,,Prod,"(baseline) ""Zazie Productions – Evil Overlord in NC"" — projects Ouroborean Sunmouth, Paranoid Heraldry of the Pink Sun, Glossolalia Engine / 23-Vector Gospel.",web_search,,
D,https://www.bizapedia.com/nc/zazie-productions-llc.html,🩵,,,Both,"NC LLC record, file 3188652, registered agent ""Zazie Diya Kanwar-Torge"".",Yahoo p4,,
D,https://voterrecords.com/voter/127892431/zazie-kanwar-torge,🩵,,,Kanwar,Public voter record (PII — record existence only; do not re-publish details).,Yahoo p4,,
D,"https://www.youtube.com/watch?v=XF0nks0Nnak · https://www.youtube.com/watch?v=c9ZoZhSci2Q (""Organized Chaos"") · https://www.youtube.com/watch?v=ld4BzJkKMi8 (""Spectral Ode to Synesthesia"")",📼 🟠,,,Kanwar,DistroKid auto-uploads crediting Zazie Kanwar-Torge.,Yahoo p4,,
D,https://www.instagram.com/p/DQWpMP8kYmJ/,🟢,,,Kanwar,IG post surfaced for the exact name (403 on fetch — 🟡).,Yahoo p1,,
D,https://open.spotify.com/playlist/5hy3SZN9SNkgbHgWx4UwSO,🟠,,,Prod,"""Sound Art / Experimental Poetry / Musique Concrète"" playlist by Zazie Productions (135 items).","Yahoo ""Zazie Productions"" poetry p1",,
D,https://credits.muso.ai/profile/4010f3b7-9a87-4961-8dfd-917de0ba787e · https://www.songstats.com/artist/mljz9dxu/zazie-kanwar-torge,🩵 🟠,,,Both,(baseline) credit databases.,Brave chunk 0,,
