CandidateID,TargetPhrase,SearchEngine_Or_Source,ExactQuery_Or_Navigation,DateSearched,Rank_Page,Publication_Host,CandidatePageTitle,DisplayedURL,CanonicalURL,ExistingMasterID,ExactPhraseOnDestination,EvidenceExcerpt,Tier,FeatureQualificationDecision,DuplicateStatus,LiveStatus,Reason,NewRecordID,Notes
CAND-MZ-011,"Zazie Productions",MediaMaster,"""Zazie Productions"" magazine",2026-09-05,1,Grammy Weekly,"Zazie Productions: The Underground Polymath…",https://grammyweekly.com/zazie-productions-the-underground-polymath-redefining-experimental-music/,same,MediaMaster Press-03,Yes (search-index),"Zazie Productions: The Underground Polymath",Tier A,Previously documented,Single,Live but partially inaccessible (500),Retained,ZP4-008,Archive calendar 0
CAND-MZ-012,"Zazie Kanwar-Torge / Zazie Productions",MediaMaster,"""Zazie Kanwar-Torge"" ""Lake Ivan""",2026-09-05,1,Lake Ivan Film Journal,"Spinning in the Wildness: Phantom Requiem",https://lakeivanfilmjournal.org/spinning-in-the-wildness-phantom-requiem,,MediaMaster Press-08,Yes (search-index),"PHANTOM REQUIEM by Zazie Kanwar-Torge (Zazie Productions)",Tier A,Previously documented,Single,Live (search-index),Retained,ZKT4-003,
CAND-MZ-013,"Zazie Productions",MediaMaster,"""Zazie Productions"" ""Pop Fantasma""",2026-09-05,,Pop Fantasma,"Radar: Shape, Samuel James e outros sons…",https://popfantasma.com.br/radar-shape-samuel-james-e-outros-sons-que-chegaram-pelo-groover/,same,MediaMaster Press-07,Yes (search-index),"Zazie Productions (roundup entry)",Tier B,Previously documented Tier B,Single,Live (snippet),Retained,ZP4-012,
CAND-MZ-014,"Zazie Kanwar-Torge",MediaMaster,"""Zazie Kanwar-Torge"" ""Viral Nation""",2026-09-05,,Viral Nation,"What Creators Really Want From Brands…",https://www.viralnation.com/blog/what-creators-really-want-from-brands-in-2025/,same,MediaMaster Press-10,Yes (search-index),"Zazie Kanwar-Torge, founder, Zazie Productions",Tier B,Previously documented Tier B,Single,Live (snippet),Retained,ZKT4-004,
CAND-MZ-015,"Zazie Kanwar-Torge",MediaMaster,"""Zazie Kanwar-Torge"" contributor",2026-09-05,,PR ON THE GO,"Art PR: Expanding artistic reach…",https://pronthego.com/pages/blog/art-pr-expanding-artistic-reach-through-digital-exhibitions,same,MediaMaster Press-11,Yes (snippet),"Zazie Kanwar-Torge (expert box)",Tier B,Previously documented Tier B,Cluster of 5 distinct URLs,Live (snippet),Retained,ZKT4-005,
CAND-MZ-016,"Zazie Kanwar-Torge",MediaMaster,same,2026-09-05,,PR ON THE GO,"How film festivals can help a film …",https://pronthego.com/pages/blog/how-film-festivals-can-help-a-film-attract-media-attention,same,MediaMaster Press-12,Yes,,Tier B,Previously documented Tier B,,Live,Retained,ZKT4-006,
CAND-MZ-017,"Zazie Kanwar-Torge",MediaMaster,same,2026-09-05,,PR ON THE GO,"Sights and Sounds - Aesthetic Identities of Indie Musicians",https://pronthego.com/pages/blog/sights-and-sounds-aesthetic-identities-of-indie-musicians,same,MediaMaster Press-13,Yes,,Tier B,Previously documented Tier B,,Live,Retained,ZKT4-007,
CAND-MZ-018,"Zazie Productions",MediaMaster,same,2026-09-05,,PR ON THE GO,"This is how rebellious, alternative fashion …",https://pronthego.com/pages/blog/this-is-how-rebellious-alternative-fashion-is-making-its-way-back-into-society,same,MediaMaster Press-14,Yes,,Tier B,Previously documented Tier B,,Live,Retained,ZP4-010,
CAND-MZ-019,"Zazie Productions",MediaMaster,same,2026-09-05,,PR ON THE GO,"When Algorithms Imitate Art…",https://pronthego.com/pages/blog/when-algorithms-imitate-art,same,MediaMaster Press-15,Yes,,Tier B,Previously documented Tier B,,Live,Retained,ZP4-011,
CAND-MZ-020,"Zazie Productions",Seed+web_search+direct fetch,"""Zazie Productions"" + direct fetch casey-douglass.com",2026-09-05,,Casey Douglass,"Dark Ambient: Shadowlands 4 Is Out Now!",https://www.casey-douglass.com/2023/11/dark-ambient-shadowlands-4-is-out-now.html?m=1,same,MediaMaster Press-09,Yes but only tracklist,"3. Zazie Productions - Seroquel Coma",Tier C,Tier C publication mention excluded from feature section,Single,Live,Excluded,,Was B in master; reclassified to C
CAND-MZ-021,"Zazie Productions",Seed+web_search,"""Zazie Productions"" magazine",2026-09-05,1-2,itch.io,"Zazie Productions — itch.io",https://zazieproductions.itch.io/,same,Seed,Yes in bio,"He has been featured on HEAVY Magazine…",Tier D,Tier D non-editorial result excluded,,Live,Excluded — profile self-published,,Bio self-cites magazines
CAND-MZ-022,"Zazie Productions",Seed,search rocks,2026-09-05,,Rock Culture,"Noticias … Zazie Productions …",https://www.rockculture.es/noticias-…-zazie-productions-…,same,Seed,Yes,"…Zazie Productions, Rip Gerber…",Tier C,Tier C publication mention excluded,Single,Live,Excluded,,Passing headline list
CAND-MZ-023,"Zazie Productions",Seed,"""Zazie Productions"" ""tinnitist""",2026-09-05,,Tinnitist,"Tag: zazie-productions",https://tinnitist.com/tag/zazie-productions/,same,Seed,Yes (tag),"zazie-productions",Tier D,Tier D non-editorial excluded,,Live,Excluded — tag page,,
CAND-MZ-024,"Zazie Productions",Seed,direct fetch soundsgoodwebzine tag,,Soundsgood Webzine tag,"Tag: Zazie Productions",https://www.soundsgoodwebzine.com/tag/zazie-productions/,same,,Yes (tag),,Tier D,Syndicated duplicate or mirror (tag vs article),Duplicate with CAND-MZ-006,Live,Excluded tag retained article,,
CAND-MZ-025,"Zazie Kanwar-Torge",web_search,"""Zazie Kanwar-Torge"" ""in conversation""",2026-09-05,,,,,,No,,No new feature evidence found,,,No new feature evidence found,,
CAND-MZ-026,"Zazie Productions",web_search,"""Zazie Productions"" ""Q&A""",2026-09-05,,SoundBetter,"Award Winning Musical Prodigy — Interview with Zazie Productions",https://soundbetter.com/profiles/614805-zazie-productions,same,Seed,Yes,"Interview with Zazie Productions",Tier D,Tier D non-editorial excluded,,Live,Excluded — marketplace profile Q&A,,Not magazine
CAND-MZ-027,"Zazie Productions",web_search,"site:substack.com ""Zazie Productions""",2026-09-05,1-2,Substack,Substack search results,https://producerzach.substack.com/,,— ,No,,Tier D,No new feature evidence found,,Live (no evidence),Negative,,
CAND-MZ-028,"Zazie Productions",web_search,"site:medium.com ""Zazie Productions""",2026-09-05,1,Medium,Zazzy Studio,https://medium.com/zazzy-studio,same,,No,,,Tier D,No new feature evidence found,,Live,Negative,,
CAND-MZ-029,"Zazie Productions",web_search,"site:wordpress.com ""Zazie Productions""",2026-09-05,1-2,WordPress.com (Coin-Operated Press),"Call for Submissions: For The Sad Kids Zine",https://coinoperatedpress.wordpress.com/2025/09/08/call-for-submissions-for-the-sad-kids-zine/,same,Register claim,No (announcement page no phrase),,Tier C/D,Deferred to unresolved leads,,Live (announcement),Deferred — interior needs PDF,MZL-001,Interior PDF needed
CAND-MZ-030,"Zazie Kanwar-Torge",web_search,"""Zazie Kanwar-Torge"" zine",2026-09-05,1-2,LinkedIn / Pulitzer,Pulitzer finalist etc.,,,,Mixed,,Tier D,Search-index-only feature lead,,—,No new zine page,,
CAND-MZ-031,"Zazie Productions",web_search,"""Zazie Productions"" ""Bipolar Poetry""",2026-09-05,,Bipolar Poetry (Duotrope),Bipolar Poetry listing,https://duotrope.com/magazine/bipolar-poetry-39640,,Register claim,No,,No new feature evidence found,,Live,Negative,MZL-002,Listing page no phrase
CAND-MZ-032,"Zazie Productions",web_search,"""Zazie Productions"" ""Milkweed Poetry Journal""",2026-09-05,,,,,,,No,,,,No new feature evidence found,,,MZL-003
CAND-MZ-033,"Zazie Productions",web_search,"""Zazie Productions"" ""Church of Malware""",2026-09-05,,churchofmalware.org,Community Codex Vol 1,https://churchofmalware.org/,,Register claim,No,,No new feature evidence found,,Live,See MZL-004,,
CAND-MZ-034,"Zazie Productions",web_search,"filetype:pdf ""Zazie Productions"" magazine",2026-09-05,1,Superpresent PDF,Same as CAND-MZ-001,https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,same,See CAND-MZ-001,Yes,"Zazie Productions | Suture Disruption",Tier A,Previously documented Tier A — not new,Single,Live,Already counted,ZP4-003,
CAND-MZ-035,"Zazie Kanwar-Torge",web_search,"filetype:pdf ""Zazie Kanwar-Torge"" zine",2026-09-05,,,,,,,No,,,,No new feature evidence found,,,,
CAND-MZ-036,"Zazie Productions",archive check,Wayback web/*/grammyweekly,2026-09-05,,Wayback Machine,Calendar for Grammy Weekly profile,https://web.archive.org/web/20260000000000*/https://grammyweekly.com/zazie-productions-the-underground-polymath-redefining-experimental-music/,same,MediaMaster Press-03,No archive capture,,,No new feature evidence found — archived-only not needed,,Archived-only check,,Not a new record
CAND-MZ-037,"Zazie Productions",web_search,"""Zazie Productions"" ""artist spotlight""",2026-09-05,,,,,,,,"No new feature evidence found",,,Negative,,
CAND-MZ-038,"Zazie Kanwar-Torge",web_search,"""Zazie Kanwar-Torge"" ""Q&A"" / ""in conversation""",2026-09-05,,,,,,,,"No new feature evidence found",,,Negative,,
CAND-MZ-039-047,"Both",web_search,"Remaining broad queries (sound art, experimental music, literary journal, art magazine etc. × both targets)",2026-09-05,,,,,,,,Mixed snippets but no new qualifying page,,No new feature evidence found,,,Documented as negative-result queries in Query Inventory,,
